city,country,description,location,State,state_abbrev,longitude,latitude,city_longitude,city_latitude,Audio Evidence,Image/Video/Visual Evidence,Haunted Places Date,Haunted Places Witness Count,Time of Day,Apparition Type,Event Type,Deaths per Year,Average Potential Life Years Lost per Death,"Deaths per 10,000 Adults",Percentage of Adults who Binge Drink 1+ Times per Month,Median Drinks per Binge,Top 25% Drinks per Binge,Median Binge per Month,Top 25% Binge per Month,Increase in Alcohol Deaths per Capita from 2015 to 2019,Male Proportion of Deaths,Percent Deaths from Chronic Causes,Percent Deaths from Acute Causes,Percent Deaths 35+,Percent Deaths under 21,Years of Life Lost per Year,Taxpayer Cost in 2010 (billions),Inflation Adjusted Cost to 2022 (billions),Inflation Adjusted Per Drink (2022),avg_violent_crime,avg_murder_manslaughter,avg_property_crime,avg_temp_rank,avg_precip_rank,precip_category,"Top_6_Primary_Substances (Per 100,000)","Alcohol (Per 100,000)","Heroin (Per 100,000)","Methamphetamine (Per 100,000)","Other Opiates/Synthetics (Per 100,000)","Marijuana/Hashish (Per 100,000)","Cocaine (Per 100,000)",daylight_hours,Filename,Caption,Detected Objects_x,Entity Labels,Entity Texts,GeoTopic Name,GeoTopic Latitude,GeoTopic Longitude,Detected Objects_y
Allegan,United States,there have been notes of white dogs chasing cars that pull into the drive way. People have seen people hanging form trees and working in fields in old clothing. This motel is where Al Capone did some of his work and had meetings in a secret place in the tunnels. The motel was once painted blue but the next day it was back to yellow. - March 2007 update: was torn down and a tennis court was built over it.,The Yellow Motel,Michigan,MI,-85.8744224,42.5341643,-85.8553031,42.5291989,False,True,2007/03/13,4,Unknown,Other (Male),Mystery,"4,548",25.5,5.75,19.8%,5.6,7.9,1.8,4.3,40.2%,67.9%,59.6%,40.4%,84.4%,2.57%,115890.0,8.162,11.018,2.84,50251.92857142857,632.2142857142857,289907.0714285714,123.0,121.0,Above Average,734.0,324.0,165.0,80.0,56.0,31.0,78.0,11.83,there_have_been_notes_of_white_dogs_chasing_cars_t.png,a horse grazing in a field next to a house .,"church, church building (0.28), barn (0.13), beacon, lighthouse, beacon light, pharos (0.08), boathouse (0.03)","['PERSON', 'DATE', 'DATE']","['Al Capone', 'the next day', 'March 2007']",,,,"church, church building (0.28), barn (0.13), beacon, lighthouse, beacon light, pharos (0.08), boathouse (0.03)"
Alma,United States,"Gamma Phi Beta House - Sisters that live in the ""pink"" room awoke one night to see a ghostly figure pacing back and forth between the closet door and the bedroom door. The sisters that stay in that room immediately started screaming, and the president came out of her room, opened the door and the ghost went past her. When she returned to her room everything that was hanging on the walls had fallen to the ground. Also, there are always strange things happening at the house. Things turn up missing or are moved. Strange noises can be heard throughout the night. Doors are always slamming, lights go dim, and many other strange things happen. The ""hauntings"" started shortly after the sisters of gamma phi beta remodeled the house...it's almost like it upset the ghost(s).",Alma College,Michigan,MI,-84.669939,43.379011,-84.6597274,43.3789199,True,True,0200/01/13,6,Night,Ghost (Male),Accident,"4,548",25.5,5.75,19.8%,5.6,7.9,1.8,4.3,40.2%,67.9%,59.6%,40.4%,84.4%,2.57%,115890.0,8.162,11.018,2.84,50251.92857142857,632.2142857142857,289907.0714285714,123.0,121.0,Above Average,734.0,324.0,165.0,80.0,56.0,31.0,78.0,11.83,Gamma_Phi_Beta_House___Sisters_that_live_in_the__p.png,a room with a bed and a window,"sliding door (0.57), wardrobe, closet, press (0.09), shoji (0.06), patio, terrace (0.03), prison, prison house (0.02)","['PERSON', 'ORG', 'TIME', 'TIME']","['Gamma Phi', 'House - Sisters', 'one night', 'the night']",Alma College Historical Marker,43.37889,-84.67111,"sliding door (0.57), wardrobe, closet, press (0.09), shoji (0.06), patio, terrace (0.03), prison, prison house (0.02)"
Alpena,United States,A few witnesses heard footsteps and saw heads in the windows before they were boarded up. next to the long lake chapel.,old radio tavern,Michigan,MI,-83.433713,45.0629087,-83.4327528,45.0616794,True,True,2025/01/01,2,Unknown,Unknown (Male),Unknown,"4,548",25.5,5.75,19.8%,5.6,7.9,1.8,4.3,40.2%,67.9%,59.6%,40.4%,84.4%,2.57%,115890.0,8.162,11.018,2.84,50251.92857142857,632.2142857142857,289907.0714285714,123.0,121.0,Above Average,734.0,324.0,165.0,80.0,56.0,31.0,78.0,11.83,A_few_witnesses_heard_footsteps_and_saw_heads_in_t.png,a black and white photo of a train,"boathouse (0.46), barn (0.34)",,,,,,"boathouse (0.46), barn (0.34)"
Ann Arbor,United States,"Story goes some time in the late 70s a student named Mary (last name never mentioned) who, while working on some lighting fixtures alone one day, fell from the catwalks head first and died upon the stage. Sightings include actors and stagehands seeing a girl up in the catwalks wearing a light pink dress. Also, in the prop room where all the senior thespians spray paint their names on the wall shortly after Mary's death her name appeared in bold red paint above the doorway about seventeen feet from the floor and upside down.",Huron High School theatre.,Michigan,MI,-83.70264300000001,42.2813889,-83.7430378,42.2808256,False,True,2025/01/01,0,Unknown,"Unknown (Male, actor)",Death,"4,548",25.5,5.75,19.8%,5.6,7.9,1.8,4.3,40.2%,67.9%,59.6%,40.4%,84.4%,2.57%,115890.0,8.162,11.018,2.84,50251.92857142857,632.2142857142857,289907.0714285714,123.0,121.0,Above Average,734.0,324.0,165.0,80.0,56.0,31.0,78.0,11.83,Story_goes_some_time_in_the_late_70s_a_student_nam.png,a fire hydrant in front of a building .,"bannister, banister, balustrade, balusters, handrail (0.56), organ, pipe organ (0.06), mosquito net (0.03), coil, spiral, volute, whorl, helix (0.02), prison, prison house (0.02)","['DATE', 'PERSON', 'DATE', 'ORDINAL', 'PERSON', 'QUANTITY']","['the late 70s', 'Mary', 'one day', 'first', 'Mary', 'about seventeen feet']",,,,"bannister, banister, balustrade, balusters, handrail (0.56), organ, pipe organ (0.06), mosquito net (0.03), coil, spiral, volute, whorl, helix (0.02), prison, prison house (0.02)"
Ann Arbor,United States,Mercywood was a mental hospital before closing down. security guards heard the elevators moving when the building was empty. Sounds would come from the boiler room. In the basement were personal belongings of the inmates. There was also a bowling alley and bumper pool tables in the basement. There were insane rambling written on the walls in some of the rooms. Behind the hospital there was a convent where the nuns lived that worked in the hospital and even to go in there was a very uneasy feeling. It is like you can feel the insanity that surrounded the place. Also an evil feeling. They have since torn down the old hospital but something has been built there recently. It is on Jackson Ave. in Ann Arbor a little way down from the cemetery next to I-94 on the right side if you are going west.,Mercywood Hospital,Michigan,MI,-83.6541587,42.2648802,-83.7430378,42.2808256,True,False,1994/03/13,1,Unknown,"Unknown (Male, nun)",Unknown,"4,548",25.5,5.75,19.8%,5.6,7.9,1.8,4.3,40.2%,67.9%,59.6%,40.4%,84.4%,2.57%,115890.0,8.162,11.018,2.84,50251.92857142857,632.2142857142857,289907.0714285714,123.0,121.0,Above Average,734.0,324.0,165.0,80.0,56.0,31.0,78.0,11.83,Mercywood_was_a_mental_hospital_before_closing_dow.png,a black and white photo of a kitchen with a window,"prison, prison house (0.98)","['ORG', 'GPE', 'PRODUCT']","['Jackson Ave', 'Ann Arbor', 'I-94']",Parish of Saint Ann,18.35,-77.26667,"prison, prison house (0.98)"
Assininns,United States,"Before the building was turned into a Tribal Center, it used to be a Catholic Orphanage. People have sighted apparitions of little kids, nuns and priests, and have also had encounters with objects dropping or moving, and other various sounds through out the building. This entire piece of land still has a church that's active, and other inactive buildings that date back to the early 1800's.",the old tribal center/orphanage,Michigan,MI,,,-88.4773517,46.81020950000001,True,False,1800/01/01,0,Unknown,"Ghost (Male, priest)",Supernatural,"4,548",25.5,5.75,19.8%,5.6,7.9,1.8,4.3,40.2%,67.9%,59.6%,40.4%,84.4%,2.57%,115890.0,8.162,11.018,2.84,50251.92857142857,632.2142857142857,289907.0714285714,123.0,121.0,Above Average,734.0,324.0,165.0,80.0,56.0,31.0,78.0,11.83,Before_the_building_was_turned_into_a_Tribal_Cente.png,a black and white photo of a fire hydrant,"mailbox, letter box (0.39), church, church building (0.18), birdhouse (0.08), picket fence, paling (0.07), beacon, lighthouse, beacon light, pharos (0.02)",,,,,,"mailbox, letter box (0.39), church, church building (0.18), birdhouse (0.08), picket fence, paling (0.07), beacon, lighthouse, beacon light, pharos (0.02)"
Atlanta,United States,"The old cabin located on Camp 8 road is haunted by three young ghosts all sisters died during the flu epidemic in the upstairs bedroom. Reports of crying and screaming have been herd throughout the house. And pictures taken by visitors have shown more than just the three ghosts. Young children, orbs and a demon have also shown up in this film. - March 2008 Update: This is private property. No Trespassing.",Camp 8 Cabin,Michigan,MI,-84.2878159,44.84782939999999,-84.1438927,45.00473059999999,True,True,2025/03/08,0,Unknown,Ghost (Male),Death,"4,548",25.5,5.75,19.8%,5.6,7.9,1.8,4.3,40.2%,67.9%,59.6%,40.4%,84.4%,2.57%,115890.0,8.162,11.018,2.84,50251.92857142857,632.2142857142857,289907.0714285714,123.0,121.0,Above Average,734.0,324.0,165.0,80.0,56.0,31.0,78.0,11.83,The_old_cabin_located_on_Camp_8_road_is_haunted_by.png,a black and white photo of a barn and a barn,barn (0.90),"['FAC', 'CARDINAL', 'CARDINAL', 'DATE']","['Camp 8', 'three', 'three', 'March 2008']",Kanton Basel-Landschaft,47.50438,7.70444,barn (0.90)
Augusta,United States,"Hotel now owned by Michigan State University.  Originally the Upjohn Family (of Upjohn Pharmaceauticals - since bought by Pharmacia and later Pfizer) summer residence.  Dr. Upjohn died in the Doctor's Cottage - a beautiful, upscale large cottage on the edge of the creek, surrounded by his japanese garden. Guests in staying in the cottage have told staff they hear footsteps and no one is there.  It's not uncommon for guests staying in the Doctor's Cottage to go to the front desk during the night to request to be moved to another room due to the strange noises and feelings of uneasiness. Hotel staff have said they hear the piano playing when alone in the Doctor's cottage, closing up after events- and yet they are the only people there. Guests staying in the carriage house have reported hearing piano music during the night - but the only piano currently on property is too far away to be heard there.",Brook Lodge Hotel,Michigan,MI,,,-85.35222189999999,42.3364294,True,False,2025/01/01,2,Night,"Unknown (Male, doctor)",Death,"4,548",25.5,5.75,19.8%,5.6,7.9,1.8,4.3,40.2%,67.9%,59.6%,40.4%,84.4%,2.57%,115890.0,8.162,11.018,2.84,50251.92857142857,632.2142857142857,289907.0714285714,123.0,121.0,Above Average,734.0,324.0,165.0,80.0,56.0,31.0,78.0,11.83,Hotel_now_owned_by_Michigan_State_University___Ori.png,a red brick building with a clock tower .,"window screen (0.32), palace (0.27), window shade (0.18), library (0.04)","['ORG', 'WORK_OF_ART', 'ORG', 'PERSON', 'PERSON', 'DATE', 'PERSON', 'NORP', 'TIME']","['Michigan State University', 'the Upjohn Family', 'Upjohn Pharmaceauticals', 'Pharmacia', 'Pfizer', 'summer', 'Upjohn', 'japanese', 'the night']",,,,"window screen (0.32), palace (0.27), window shade (0.18), library (0.04)"
Battle Creek,United States,"Reports of strange occurrences happened only in the East side building, usually in apartments 1-4, and 8. Closet doors would open, even when closed securely and if the closet door was closed, you can sometimes hear the coat hangers (even if immobilized in some way)tap against each other, despite the total lack of breezes or heat updrafts. Other strange happenings included: Heavy footsteps and yelling in vacant upper apartments, the feeling of an unpleasant presence, cold spots (in only one upper apartment), the feeling of being ""touched"" or ""groped"", knocking on doors, dishes being broken and pans thrown (but still intact and unmoved when you check them) and flickering lights. The buildings are about 100 years old, but no one has made any connections of deaths or tragedies to these ""hauntings"".",Court Apartments (formally Webster Apartments),Michigan,MI,-85.1780687,42.2979251,-85.17971419999999,42.3211522,True,False,2025/01/04,0,Unknown,Ghost (Male),Death,"4,548",25.5,5.75,19.8%,5.6,7.9,1.8,4.3,40.2%,67.9%,59.6%,40.4%,84.4%,2.57%,115890.0,8.162,11.018,2.84,50251.92857142857,632.2142857142857,289907.0714285714,123.0,121.0,Above Average,734.0,324.0,165.0,80.0,56.0,31.0,78.0,11.83,Reports_of_strange_occurrences_happened_only_in_th.png,a bathroom with a toilet and a shower .,"medicine chest, medicine cabinet (0.19), wardrobe, closet, press (0.17), sliding door (0.15), shower curtain (0.05), doormat, welcome mat (0.03)","['LOC', 'CARDINAL', 'CARDINAL', 'CARDINAL', 'DATE']","['East', '1', '8', 'only one', 'about 100 years old']",The Other Palace,51.49889,-0.14216,"medicine chest, medicine cabinet (0.19), wardrobe, closet, press (0.17), sliding door (0.15), shower curtain (0.05), doormat, welcome mat (0.03)"
Battle Creek,United States,when people drive by sometimes they see a white ball run across the into a marble headstone.,Penfield cemetery,Michigan,MI,-85.17774469999999,42.3062055,-85.17971419999999,42.3211522,False,True,2025/01/01,0,Unknown,Unknown (Male),Unknown,"4,548",25.5,5.75,19.8%,5.6,7.9,1.8,4.3,40.2%,67.9%,59.6%,40.4%,84.4%,2.57%,115890.0,8.162,11.018,2.84,50251.92857142857,632.2142857142857,289907.0714285714,123.0,121.0,Above Average,734.0,324.0,165.0,80.0,56.0,31.0,78.0,11.83,when_people_drive_by_sometimes_they_see_a_white_ba.png,a white fire hydrant sitting on the side of a road .,"saltshaker, salt shaker (0.14), picket fence, paling (0.07), soap dispenser (0.06), croquet ball (0.06), ping-pong ball (0.04)",,,Penfield Cemetery,41.16783,-82.10876,"saltshaker, salt shaker (0.14), picket fence, paling (0.07), soap dispenser (0.06), croquet ball (0.06), ping-pong ball (0.04)"
Bay City,United States,Reports of apparitions and footsteps heard in there and found nobody in the building.,Delta College,Michigan,MI,-83.98600359999999,43.5579516,-83.8888647,43.5944677,True,False,2025/05/13,1,Unknown,Ghost (Male),Supernatural,"4,548",25.5,5.75,19.8%,5.6,7.9,1.8,4.3,40.2%,67.9%,59.6%,40.4%,84.4%,2.57%,115890.0,8.162,11.018,2.84,50251.92857142857,632.2142857142857,289907.0714285714,123.0,121.0,Above Average,734.0,324.0,165.0,80.0,56.0,31.0,78.0,11.83,Reports_of_apparitions_and_footsteps_heard_in_ther.png,a bathroom with a toilet and a sink,"sliding door (0.90), window screen (0.03)",,,Delta College,43.55891,-83.98581,"sliding door (0.90), window screen (0.03)"
Bay City,United States,"white objects seen entering plant, very creepy feeling, some people who have went inside have came out frightened",old water treatment plant,Michigan,MI,-83.8741012,43.6258078,-83.8888647,43.5944677,False,True,2025/01/01,2,Unknown,Unknown,Unknown,"4,548",25.5,5.75,19.8%,5.6,7.9,1.8,4.3,40.2%,67.9%,59.6%,40.4%,84.4%,2.57%,115890.0,8.162,11.018,2.84,50251.92857142857,632.2142857142857,289907.0714285714,123.0,121.0,Above Average,734.0,324.0,165.0,80.0,56.0,31.0,78.0,11.83,white_objects_seen_entering_plant__very_creepy_fee.png,a black and white photo of a bathroom sink .,"radiator (0.23), toilet tissue, toilet paper, bathroom tissue (0.21), shower curtain (0.03), bath towel (0.03), hand blower, blow dryer, blow drier, hair dryer, hair drier (0.02)",['NORP'],['creepy'],,,,"radiator (0.23), toilet tissue, toilet paper, bathroom tissue (0.21), shower curtain (0.03), bath towel (0.03), hand blower, blow dryer, blow drier, hair dryer, hair drier (0.02)"
Bay City,United States,The legend of the Bloody Hand. For years there has been talk of the appearance of a bloody hand in the church sacristy and in the church basement as well.,Our Lady of the Visitation Church,Michigan,MI,-83.8945444,43.616625,-83.8888647,43.5944677,False,False,2025/01/01,0,Unknown,Unknown (Male),Unknown,"4,548",25.5,5.75,19.8%,5.6,7.9,1.8,4.3,40.2%,67.9%,59.6%,40.4%,84.4%,2.57%,115890.0,8.162,11.018,2.84,50251.92857142857,632.2142857142857,289907.0714285714,123.0,121.0,Above Average,734.0,324.0,165.0,80.0,56.0,31.0,78.0,11.83,The_legend_of_the_Bloody_Hand__For_years_there_has.png,a living room with a couch and a table,"vault (0.78), window shade (0.04), church, church building (0.02), prison, prison house (0.02)","['ORG', 'DATE']","['the Bloody Hand', 'years']",,,,"vault (0.78), window shade (0.04), church, church building (0.02), prison, prison house (0.02)"
Bellaire,United States,"The Richardi House (now known as The Grand Victorian Bed & Breakfast) is rumored to be haunted by Henri Richardi. Richardi built the house for his intended bride. When she left him for another man, he was heartbroken. Strange lights were seen in the cupola when the house was uninhabited (before being turned into a Bed & Breakfast).",Richardi House,Michigan,MI,-85.209954,44.980443,-85.2111728,44.9802822,True,True,2025/01/01,1,Unknown,Ghost (Male),Supernatural,"4,548",25.5,5.75,19.8%,5.6,7.9,1.8,4.3,40.2%,67.9%,59.6%,40.4%,84.4%,2.57%,115890.0,8.162,11.018,2.84,50251.92857142857,632.2142857142857,289907.0714285714,123.0,121.0,Above Average,734.0,324.0,165.0,80.0,56.0,31.0,78.0,11.83,The_Richardi_House__now_known_as_The_Grand_Victori.png,a tall building with a clock on it,"boathouse (0.38), lakeside, lakeshore (0.18), palace (0.11), monastery (0.03), castle (0.03)","['ORG', 'ORG', 'PERSON', 'ORG']","['The Richardi House', 'The Grand Victorian Bed & Breakfast', 'Henri Richardi', 'a Bed & Breakfast']",,,,"boathouse (0.38), lakeside, lakeshore (0.18), palace (0.11), monastery (0.03), castle (0.03)"
Dearborn,United States,The old Rouge Power House blew up in 2001 and several people died that day. If you park on Miller road late at night in front of this building you can hear vicious screams of the people thrown onto the street from the blast.,Ford Rouge Plant,Michigan,MI,-83.233109,42.303109,-83.17631449999999,42.3222599,True,False,1917/03/13,0,Night,Unknown (Male),Death,"4,548",25.5,5.75,19.8%,5.6,7.9,1.8,4.3,40.2%,67.9%,59.6%,40.4%,84.4%,2.57%,115890.0,8.162,11.018,2.84,50251.92857142857,632.2142857142857,289907.0714285714,123.0,121.0,Above Average,734.0,324.0,165.0,80.0,56.0,31.0,78.0,11.83,The_old_Rouge_Power_House_blew_up_in_2001_and_seve.png,a tall building with a clock on top of it .,"prison, prison house (0.42), barn (0.12), monastery (0.11), water tower (0.05), church, church building (0.02)","['ORG', 'DATE', 'DATE', 'PERSON', 'TIME']","['Rouge Power House', '2001', 'that day', 'Miller', 'late at night']",,,,"prison, prison house (0.42), barn (0.12), monastery (0.11), water tower (0.05), church, church building (0.02)"
Dearborn,United States,The overpass bridge also has haunting facts from the day Walter Reuther was beaten up by Harry Bennett's thugs. It is said that people who use this bridge late at night get an eerie feeling of being pushed from behind and a strange voice yells at them.,Ford Rouge Plant – Overpass Bridge,Michigan,MI,-83.233109,42.303109,-83.17631449999999,42.3222599,False,False,2025/01/01,0,Night,Ghost (Male),Murder,"4,548",25.5,5.75,19.8%,5.6,7.9,1.8,4.3,40.2%,67.9%,59.6%,40.4%,84.4%,2.57%,115890.0,8.162,11.018,2.84,50251.92857142857,632.2142857142857,289907.0714285714,123.0,121.0,Above Average,734.0,324.0,165.0,80.0,56.0,31.0,78.0,11.83,The_overpass_bridge_also_has_haunting_facts_from_t.png,a train traveling down tracks next to a bridge .,viaduct (0.95),"['PERSON', 'PERSON']","['Walter Reuther', ""Harry Bennett's""]",,,,viaduct (0.95)
Dearborn,United States,"Cold spots felt. One of the most recent encounters was in one of the seventh grade classrooms. The teacher left the room to copy some papers. Right after he left, the door connecting to of the rooms together flew open. When some of the students checked, no one could've gotten into that room. They sat back down, and again, the door moved a little. Right after, the students heard faint whispering.",O.L. Smith Middle School,Michigan,MI,-83.2683124,42.2879006,-83.17631449999999,42.3222599,True,False,2025/03/15,4,Unknown,"Unknown (Male, student)",Unknown,"4,548",25.5,5.75,19.8%,5.6,7.9,1.8,4.3,40.2%,67.9%,59.6%,40.4%,84.4%,2.57%,115890.0,8.162,11.018,2.84,50251.92857142857,632.2142857142857,289907.0714285714,123.0,121.0,Above Average,734.0,324.0,165.0,80.0,56.0,31.0,78.0,11.83,Cold_spots_felt__One_of_the_most_recent_encounters.png,a kitchen with a refrigerator and a stove,"cinema, movie theater, movie theatre, movie house, picture palace (0.25), cash machine, cash dispenser, automated teller machine, automatic teller machine, automated teller, automatic teller, ATM (0.10), shoji (0.07), prison, prison house (0.05), projector (0.05)","['CARDINAL', 'CARDINAL', 'ORDINAL']","['One', 'one', 'seventh']",,,,"cinema, movie theater, movie theatre, movie house, picture palace (0.25), cash machine, cash dispenser, automated teller machine, automatic teller machine, automated teller, automatic teller, ATM (0.10), shoji (0.07), prison, prison house (0.05), projector (0.05)"
Belding,United States,"In the Children's section, downs stairs, sometimes you hear a small girl laughing when you are there alone. Books fall off the selves and you feel like there is someone in the room who wants you to go away even thought there is no one there.",Belding Library,Michigan,MI,-85.2268185,43.09784639999999,-85.228906,43.0978094,True,False,2025/01/01,0,Unknown,Unknown (Male),Accident,"4,548",25.5,5.75,19.8%,5.6,7.9,1.8,4.3,40.2%,67.9%,59.6%,40.4%,84.4%,2.57%,115890.0,8.162,11.018,2.84,50251.92857142857,632.2142857142857,289907.0714285714,123.0,121.0,Above Average,734.0,324.0,165.0,80.0,56.0,31.0,78.0,11.83,In_the_Children_s_section__downs_stairs__sometimes.png,a black and white photo of a building,"bannister, banister, balustrade, balusters, handrail (0.66), prison, prison house (0.06), maze, labyrinth (0.02)",,,,,,"bannister, banister, balustrade, balusters, handrail (0.66), prison, prison house (0.06), maze, labyrinth (0.02)"
Belleville,United States,Go down Denton Rd. at midnight and stop when you see the old road at the bottom of the hill on Denton Rd. (Unknown name of road but it's by the old cemetery) stop turn off all lights and get out of your car wait about 1-10 min. and you will see a glow float down the old road at the bottom of the hill.,94 &amp; Denton Rd.,Michigan,MI,-94.819713,45.66820509999999,-83.4852133,42.2047619,False,True,2025/01/10,0,Night,Unknown (Male),Mystery,"4,548",25.5,5.75,19.8%,5.6,7.9,1.8,4.3,40.2%,67.9%,59.6%,40.4%,84.4%,2.57%,115890.0,8.162,11.018,2.84,50251.92857142857,632.2142857142857,289907.0714285714,123.0,121.0,Above Average,734.0,324.0,165.0,80.0,56.0,31.0,78.0,11.83,Go_down_Denton_Rd__at_midnight_and_stop_when_you_s.png,a black and white photo of a city street,"obelisk (0.18), mosque (0.17), triumphal arch (0.10), church, church building (0.10), traffic light, traffic signal, stoplight (0.03)","['TIME', 'GPE', 'CARDINAL']","['midnight', 'Denton Rd', 'about 1-10']",,,,"obelisk (0.18), mosque (0.17), triumphal arch (0.10), church, church building (0.10), traffic light, traffic signal, stoplight (0.03)"
Belleville,United States,"Denton Rd. - There's an overall bad feeling in this cemetery. If you take a camera (preferably digital) and take pictures, you'll see orbs everywhere. There's a specific large, greenish orb that shows up in photographs quite a bit.",Cemetery off S. Service Drive,Michigan,MI,-83.522807,42.2167069,-83.4852133,42.2047619,False,True,2025/01/01,0,Unknown,Orb (Male),Unknown,"4,548",25.5,5.75,19.8%,5.6,7.9,1.8,4.3,40.2%,67.9%,59.6%,40.4%,84.4%,2.57%,115890.0,8.162,11.018,2.84,50251.92857142857,632.2142857142857,289907.0714285714,123.0,121.0,Above Average,734.0,324.0,165.0,80.0,56.0,31.0,78.0,11.83,Denton_Rd____There_s_an_overall_bad_feeling_in_thi.png,a fire hydrant in the middle of a field .,"pedestal, plinth, footstall (0.72), obelisk (0.09), megalith, megalithic structure (0.04)",['PERSON'],['Denton Rd. -'],,,,"pedestal, plinth, footstall (0.72), obelisk (0.09), megalith, megalithic structure (0.04)"
Belleville,United States,When the street is dark and no one is around you can put your car in park and turn you head-lights on get out of your car and stand in front of the car and you can see another car come towards you and drive right through you and your car and then disappear in seconds.,Robson Rd,Michigan,MI,-83.47570929999999,42.2414323,-83.4852133,42.2047619,False,True,2025/01/01,0,Night,Unknown (Male),Violence,"4,548",25.5,5.75,19.8%,5.6,7.9,1.8,4.3,40.2%,67.9%,59.6%,40.4%,84.4%,2.57%,115890.0,8.162,11.018,2.84,50251.92857142857,632.2142857142857,289907.0714285714,123.0,121.0,Above Average,734.0,324.0,165.0,80.0,56.0,31.0,78.0,11.83,When_the_street_is_dark_and_no_one_is_around_you_c.png,a fire hydrant in the middle of a street .,"spotlight, spot (0.73), traffic light, traffic signal, stoplight (0.10)",['TIME'],['seconds'],,,,"spotlight, spot (0.73), traffic light, traffic signal, stoplight (0.10)"
Belleville,United States,ghosts dressed in white can be seen walking through the cemetery. It always vanishes into the tallest grave there. The ghost(s) follows vehicles that drive in there at night.,Tyler Rd. Cemetery,Michigan,MI,-83.4298354,42.2373832,-83.4852133,42.2047619,False,True,2025/01/01,1,Night,Ghost (Male),Supernatural,"4,548",25.5,5.75,19.8%,5.6,7.9,1.8,4.3,40.2%,67.9%,59.6%,40.4%,84.4%,2.57%,115890.0,8.162,11.018,2.84,50251.92857142857,632.2142857142857,289907.0714285714,123.0,121.0,Above Average,734.0,324.0,165.0,80.0,56.0,31.0,78.0,11.83,ghosts_dressed_in_white_can_be_seen_walking_throug.png,a group of people standing next to each other .,"picket fence, paling (0.81), worm fence, snake fence, snake-rail fence, Virginia fence (0.11)",['TIME'],['night'],,,,"picket fence, paling (0.81), worm fence, snake fence, snake-rail fence, Virginia fence (0.11)"
Berville,United States,"An abandoned farm house located 2 miles north of Berville where a very ill 12 year old boy had died in his sleep. Drive past this house at around 1 A.M. when it is said the boy died and you may catch a glimpse of lights flickering in the windows. Inside you can hear a faint whispering, footsteps upstairs, and things will move in the house including doors being opened that were closed. enter the boys bedroom at the end of the upstairs hall and experience an overwhelming cold chill and sudden sad emotions at times.",Berville Rd.,Michigan,MI,-82.88573939999999,42.9232364,-82.8829846,42.9083621,True,False,2025/03/02,0,Unknown,Other (Male),Death,"4,548",25.5,5.75,19.8%,5.6,7.9,1.8,4.3,40.2%,67.9%,59.6%,40.4%,84.4%,2.57%,115890.0,8.162,11.018,2.84,50251.92857142857,632.2142857142857,289907.0714285714,123.0,121.0,Above Average,734.0,324.0,165.0,80.0,56.0,31.0,78.0,11.83,An_abandoned_farm_house_located_2_miles_north_of_B.png,a black and white photo of a barn in a field .,barn (0.95),"['QUANTITY', 'GPE', 'DATE']","['2 miles', 'Berville', '12 year old']",,,,barn (0.95)
Big Rapids,United States,"Reports of a woman crying for help, cold chills, weird noises and intense feelings when exploring the basement, which was once opened to tunnels that ran underneath the entire town but have since been filled in.",Big Rapids Cinema,Michigan,MI,-85.4815053,43.6964729,-85.4836557,43.6980782,True,False,2025/01/01,0,Unknown,Unknown (Male),Mystery,"4,548",25.5,5.75,19.8%,5.6,7.9,1.8,4.3,40.2%,67.9%,59.6%,40.4%,84.4%,2.57%,115890.0,8.162,11.018,2.84,50251.92857142857,632.2142857142857,289907.0714285714,123.0,121.0,Above Average,734.0,324.0,165.0,80.0,56.0,31.0,78.0,11.83,Reports_of_a_woman_crying_for_help__cold_chills__w.png,a bathroom with a toilet and a sink,"prison, prison house (0.82), vault (0.08)",,,,,,"prison, prison house (0.82), vault (0.08)"
